CODE,TITLE
ACCT,Account 
AFST,African/African American Studies 
AKKD,Akkadian 
AMST,American Studies 
ANAT,Anatomy 
ANEE,Ancient Near East and Egypt 
ANES,Anesthesiology 
ANTH,Anthropology 
MUAP,Applied Music 
ARAB,Arabic 
ARTS,Art 
ARTH,Art History 
ASIA,Asian Studies 
ASTR,Astronomy 
BAFI,Finance 
BIOC,Biochemistry 
BETH,Bioethics 
BIOL,Biology 
EBME,Biomedical
BSTP,Biomedical
BIOS,Biosciences 
BLAW,Business Law 
BTEC,Business Technology 
CNCR,Cancer Center 
IBMS,Cell Biology 
CLBY,Cell Biology 
ECHE,Chemical Engineering 
CHEM,Chemistry 
CHST,Childhood Studies Program 
CHIN,Chinese 
ECIV,Civil Engineering 
CLSC,Classics 
CMED,Clinical medicine - CCLCM 
CRSP,Clinical Research Scholars Prg 
COGS,Cognitive Science 
COSI,Communication Sciences 
DANC,Dance 
DSCI,Data Science 
DPHC,Dental Public Health 
DENF,Dentistry - Faculty 
DENT,Dentistry 
DESN,Design & Innovation 
DSRE,Disease & Restoration of Health 
DSPR,Disease Process 
NUND,Doctor of Nursing 
EEPS,"Earth, Environ & Planetary Sci "
ECON,Economics 
EDJC,Education - John Carroll Univ 
EDUC,Education 
EECS,Computer
DNDO,Endodontics 
ENGR,Engineering 
ENGL,English 
ENTP,Entrepreneurship 
ESTD,Environmental Studies 
ETHS,Ethnic Studies 
EXAM,Examination Master/Ph.D. 
EDMP,Executive Doctor of Management 
EMBA,Executive MBA 
EFDA,Expanded Function Dental Aux 
FSAE,First Seminar Academic English 
FSCC,First Seminar Common Curric 
FSCS,First Seminar Cont Semester 
FSNA,First Seminar Natural World 
FSSO,First Seminar Social World 
FSSY,First Seminar Symbolic World 
FSTS,First Seminar Transfer Supplem 
FRCH,French 
GENE,Genetics 
GRMN,German 
GERO,Gerontological Studies 
GMBA,Global MBA 
GREK,Greek 
HEWB,Health
HWDP,Health
HSMC,Health
HBRW,Hebrew 
HSTY,History 
HPSC,Philosophy
HUMN,Humanities 
MIDS,Systems 
INQU,Inquiry 
IIME,Inst for Integr of Mgmt & Engr 
IBIS,Integrated Biological Sciences 
IHSC,Interdisciplinary Health Sci 
INTH,International Health 
INTL,International Studies 
ITAL,Italian 
JAPN,Japanese 
JDST,Judaic Studies 
LATN,Latin 
LAWS,Law 
LDRS,Leadership 
LING,Linguistics 
EMAC,Macromolecular/Polymer Science 
MAHE,Maintenance of Health 
MGMT,Management 
PLCY,Management Policy 
MKMR,Marketing 
NUMN,Master of Nursing 
MSOR,Master of Sci in Oper Research 
EMSE,Materials Science & Engineering 
MATH,Mathematics 
MBAC,Math
MBAP,Math
EMAE,Mechanical & Aerospace Engr 
MSTP,Med Scientist Training Program 
MLSC,Military Science 
MLIT,Modern Foreign Lit & Mod Lang 
MBIO,Molecular Biol & Microbiology 
MMED,Molecular Medicine 
MVIR,Molecular Virology Train Prog 
MSBA,Business
MSFI,Finance 
MSFC,Finance
MUHI,Music 
MUTH,Music
MUAR,Music
MUCP,Music
MUDE,Music
MUED,Music
MUEN,Music
MUGN,Music
MUPD,Music
MUSP,Music
NEUR,Neurosciences 
NUNP,Nurse Practitioner 
NURS,Nursing 
NUAN,Nursing Anesthesiology 
NUED,Nursing Education 
NTRN,Nutrition 
OPMT,Operations Management 
OPRE,Operations Research 
OMFS,Oral & Maxillofacial Surgery 
DORL,Oral Medicine 
ORBH,Organizational Behavior 
ORIG,Origins 
DRTH,Orthodontics 
PATH,Pathology 
COMP,Patient Based Clinicl Cmprhnsv 
DPED,Pediatric Dentistry 
DPER,Periodontics 
PHRM,Pharmacology 
PHIL,Philosophy 
PHED,Physical Education 
PAST,Physician Assistant Studies 
PHYS,Physics 
PHOL,Physiology & Biophysics 
POSC,Political Science 
PQHS,Population & Quant Health Sci 
PORT,Portuguese 
MPOD,Positive Organizational Devel 
IPOD,Positive Organztnl Devel-India 
EPOM,Pract Oriented Engr Mast Prog 
PSCL,Psychology 
MPHP,Public Health 
QUMM,Quantitative Methods in Mgmt 
RGME,Regenerative Med Entrprnrshp 
RLGN,Religious Studies 
REMA,Restoration & Mainten of Hlth 
REHE,Restoration of Health 
RUSN,Russian 
UCAP,SAGES Capstone Experience 
MGRD,Schl of Med Graduate Education 
SASS,Social
SJUS,Social
SOCI,Sociology 
SPAN,Spanish 
STAT,Statistics 
SYBB,Biology
THTR,Theater
USNA,SAGES
USSO,SAGES
USSY,SAGES
UNIV,University Studies 
WASH,Washington Semester 
WGST,Women's & Gender Studies 
WLIT,World Literature 
CIAR,Art
COOP,Co op
EDAB,Education Abroad
EXCH,Exchange
LSAB,Study Abroad
MULI,Music
MURP,Music
PRAC,Practicum
SYPS,Senior Year Studies
