"","Course_id","name","department","units","instructor"
"1","100","Introduction to Accounting for Non-Business Majors","ACCT","3","Heidi Blakeway-Phillips"
"2","101","Introduction to Financial Accounting","ACCT","3","Melissa Carlisle"
"3","101","Introduction to Financial Accounting","ACCT","3","Heidi Blakeway-Phillips"
"4","101","Introduction to Financial Accounting","ACCT","3","Anthony Bucaro"
"5","101","Introduction to Financial Accounting","ACCT","3","Heidi Blakeway-Phillips"
"6","102","Management Accounting","ACCT","3","Karen Braun"
"7","207","Excel and Accounting Analytics Technology","ACCT","3","Dennis Conrad"
"8","207","Excel and Accounting Analytics Technology","ACCT","3","Dennis Conrad"
"9","300","Corporate Reporting I","ACCT","3","Dennis Conrad"
"10","301","Corporate Reporting II","ACCT","3","Sharon Martin"
"11","305","Income Tax: Concepts, Skills, Planning","ACCT","3","Timothy Fogarty"
"12","306","Accounting Information Systems - Basic","ACCT","3","Dennis Conrad"
"13","314","Attestation and Assurance Services","ACCT","3","Melissa Carlisle"
"14","400","Introduction to Accounting for Non-Business Majors","ACCT","3","Heidi Blakeway-Phillips"
"15","401","Financial and Managerial Accountancy","ACCT","3","Gregory Jonas"
"16","401","Financial and Managerial Accountancy","ACCT","3","Kenneth Haffey"
"17","401H","Accounting for Healthcare","ACCT","3","Kenneth Haffey"
"18","405","Advanced Federal Taxes","ACCT","3","Kenneth Haffey"
"19","407","Analytics and Control","ACCT","3","David Johnson"
"20","414","Corporate Reporting and Analysis","ACCT","3","Thomas King"
"21","520","Advanced Accounting Theory","ACCT","3","Gregory Jonas"
"22","520","Advanced Accounting Theory","ACCT","3","Gary Previts"
"23","601","Special Problems and Topics","ACCT","18","Gary Previts"
"24","701","Dissertation Ph.D.","ACCT","9","Timothy Fogarty"
"25","395","Advanced Topics in Akkadian Literature","AKKD","3","Timothy Fogarty"
"26","495","Advanced Topics in Akkadian Literature","AKKD","3","Maddalena Rumor"
"27","312","Basic Histology","ANAT","3","Maddalena Rumor"
"28","391","Embryology","ANAT","3","Nicholas Ziats"
"29","399","Independent Study","ANAT","4","Scott Simpson"
"30","401","HoloAnatomy of the Human Body","ANAT","2","Scott Simpson"
"31","401","HoloAnatomy of the Human Body","ANAT","2","Bryan Singelyn,Darin Croft"
"32","412","Histology and Ultrastructure","ANAT","4","Bryan Singelyn,Darin Croft"
"33","414","Neurological Anatomy","ANAT","4","Nicholas Ziats"
"34","431","Statistical Methods I","ANAT","3","Andrew Crofton,Thomas Brantley"
"35","445","Mammal Diversity and Evolution","ANAT","4","Ming Li"
"36","445","Mammal Diversity and Evolution","ANAT","4","Darin Croft"
"37","467","Topics in Evolutionary Biology","ANAT","3","Darin Croft"
"38","491","Embryology","ANAT","3","Patricia Princehouse"
"39","499","Independent Study","ANAT","4","Scott Simpson"
"40","499","Independent Study","ANAT","4","Bryan Singelyn"
"41","499","Independent Study","ANAT","4","Scott Simpson"
"42","503","Readings and Discussions","ANAT","3","Darin Croft"
"43","503","Readings and Discussions","ANAT","3","Bryan Singelyn"
"44","503","Readings and Discussions","ANAT","3","Scott Simpson"
"45","503","Readings and Discussions","ANAT","3","Darin Croft"
"46","515","Surgical Anatomy: Orthopaedic Musculoskeletal","ANAT","4","Susanne Wish-Baratz"
"47","612","Practicum in Histology and Ultrastructure","ANAT","2","Scott Simpson"
"48","107","Introduction to the Ancient Near East and Egypt","ANEE","3","Nicholas Ziats"
"49","320","Gods and Demons in the Ancient Near East and Egypt","ANEE","3","Maddalena Rumor"
"50","403","Cardiac Electrophysiology","ANES","2","Meghan Strong"
"51","403","Cardiac Electrophysiology","ANES","2","Zachary Barsman"
"52","403","Cardiac Electrophysiology","ANES","2","Alex Steed,Stephen Hunt"
"53","456","Applied Physiology for Anesthesiologist Assistants I","ANES","3","Daniel Mesaros"
"54","456","Applied Physiology for Anesthesiologist Assistants I","ANES","3","Michael Altose"
"55","456","Applied Physiology for Anesthesiologist Assistants I","ANES","3","Michael Altose"
"56","462","Anesthesia Clinical Correlation I","ANES","1","Michael Altose"
"57","462","Anesthesia Clinical Correlation I","ANES","1","Carie Twichell"
"58","462","Anesthesia Clinical Correlation I","ANES","1","Alex Steed,Stephen Hunt"
"59","463","Anesthesia Clinical Experience I","ANES","3","Daniel Pistone"
"60","463","Anesthesia Clinical Experience I","ANES","3","Joseph Rifici"
"61","463","Anesthesia Clinical Experience I","ANES","3","Kenneth Maloney"
"62","467","Anesthesia Clinical Experience III","ANES","4","Shane Angus"
"63","468","Anesthesia Clinical Correlation III","ANES","1","Joseph Rifici"
"64","468","Anesthesia Clinical Correlation III","ANES","1","Carie Twichell"
"65","468","Anesthesia Clinical Correlation III","ANES","1","Kenneth Maloney"
"66","469","Anesthesia Clinical Experience IV","ANES","8","Daniel Pistone"
"67","469","Anesthesia Clinical Experience IV","ANES","8","Joseph Rifici"
"68","469","Anesthesia Clinical Experience IV","ANES","8","Kenneth Maloney"
"69","475","Pharmacology for Anesthesiologist Assistants I","ANES","3","Shane Angus"
"70","475","Pharmacology for Anesthesiologist Assistants I","ANES","3","Michael Altose"
"71","475","Pharmacology for Anesthesiologist Assistants I","ANES","3","Michael Altose"
"72","477","Clinical Decision Making in Anesthesia","ANES","2","Michael Altose"
"73","477","Clinical Decision Making in Anesthesia","ANES","2","Zachary Barsman"
"74","477","Clinical Decision Making in Anesthesia","ANES","2","Alex Steed,Stephen Hunt"
