index,instructor
0,Heidi Blakeway-Phillips
1,Melissa Carlisle
2,Heidi Blakeway-Phillips
3,Anthony Bucaro
4,Heidi Blakeway-Phillips
5,Karen Braun
6,Dennis Conrad
7,Dennis Conrad
8,Dennis Conrad
9,Sharon Martin
10,Timothy Fogarty
11,Dennis Conrad
12,Melissa Carlisle
13,Heidi Blakeway-Phillips
14,Gregory Jonas
15,Kenneth Haffey
16,Kenneth Haffey
17,Kenneth Haffey
18,David Johnson
19,Thomas King
20,Gregory Jonas
21,Gary Previts
22,Gary Previts
23,Timothy Fogarty
24,Timothy Fogarty
25,Maddalena Rumor
26,Maddalena Rumor
27,Nicholas Ziats
28,Scott Simpson
29,Scott Simpson
30,"Bryan Singelyn,Darin Croft"
31,"Bryan Singelyn,Darin Croft"
32,Nicholas Ziats
33,"Andrew Crofton,Thomas Brantley"
34,Ming Li
35,Darin Croft
36,Darin Croft
37,Patricia Princehouse
38,Scott Simpson
39,Bryan Singelyn
40,Scott Simpson
41,Darin Croft
42,Bryan Singelyn
43,Scott Simpson
44,Darin Croft
45,Susanne Wish-Baratz
46,Scott Simpson
47,Nicholas Ziats
48,Maddalena Rumor
49,Meghan Strong
50,Zachary Barsman
51,"Alex Steed,Stephen Hunt"
52,Daniel Mesaros
53,Michael Altose
54,Michael Altose
55,Michael Altose
56,Carie Twichell
57,"Alex Steed,Stephen Hunt"
58,Daniel Pistone
59,Joseph Rifici
60,Kenneth Maloney
61,Shane Angus
62,Joseph Rifici
63,Carie Twichell
64,Kenneth Maloney
65,Daniel Pistone
66,Joseph Rifici
67,Kenneth Maloney
68,Shane Angus
69,Michael Altose
70,Michael Altose
71,Michael Altose
72,Zachary Barsman
73,"Alex Steed,Stephen Hunt"
74,Daniel Mesaros
75,Carie Twichell
76,Kenneth Maloney
77,Daniel Pistone
78,David Zagorski
79,Kenneth Maloney
80,Ashish Patel
81,David Zagorski
82,"Alex Steed,Stephen Hunt"
83,Daniel Mesaros
84,Joseph Rifici
85,Kenneth Maloney
86,Shane Angus
87,Carie Twichell
88,Kenneth Maloney
89,Daniel Pistone
90,David Zagorski
91,Kenneth Maloney
92,Ashish Patel
93,Joseph Rifici
94,Kenneth Maloney
95,Shane Angus
96,Katia Almeida
97,Melvyn Goldstein
98,Lawrence Greksa
99,Jim Shaffer
100,Sara Thiam
101,Nicole Burt
102,Gabriella Celeste
103,Gabriella Celeste
104,Lawrence Greksa
105,Lee Hoffer
106,Megan Schmidt-Sane
107,Jim Shaffer
108,Atwood Gaines
109,Lee Hoffer
110,Yan Zhang
111,Janet Mc Grath
112,Eli Thorkelson
113,Patricia Princehouse
114,Atwood Gaines
115,Sara Thiam
116,Brian Redmond
117,Richard Smith
118,Cynthia Beall
119,Atwood Gaines
120,Melvyn Goldstein
121,Lawrence Greksa
122,Lee Hoffer
123,Jill Korbin
124,Janet Mc Grath
125,Jim Shaffer
126,Yohannes Ambaye
127,Lihong Shi
128,Cynthia Beall
129,Atwood Gaines
130,Melvyn Goldstein
131,Lawrence Greksa
132,Lee Hoffer
133,Jill Korbin
134,Janet Mc Grath
135,Jim Shaffer
136,Yohannes Ambaye
137,Lihong Shi
138,Scott Simpson
139,Cynthia Beall
140,Cynthia Beall
141,Lawrence Greksa
142,Melvyn Goldstein
143,Jim Shaffer
144,Sara Thiam
145,Atwood Gaines
146,Jill Korbin
147,Janet Mc Grath
148,Brian Redmond
149,Scott Simpson
150,Lee Hoffer
151,Yohannes Ambaye
152,Gabriella Celeste
153,Katia Almeida
154,Lihong Shi
155,Gabriella Celeste
156,Cynthia Beall
157,Atwood Gaines
158,Melvyn Goldstein
159,Lawrence Greksa
160,Jill Korbin
161,Janet Mc Grath
162,Jim Shaffer
163,Scott Simpson
164,Lee Hoffer
165,Katia Almeida
166,Brian Redmond
167,Yohannes Ambaye
168,Lihong Shi
169,Bridget Haas
170,Nicole Burt
171,Lee Hoffer
172,Janet Mc Grath
173,Atwood Gaines
174,Lee Hoffer
175,Janet Mc Grath
176,Eli Thorkelson
177,Patricia Princehouse
178,Atwood Gaines
179,Sara Thiam
180,Lawrence Greksa
181,Janet Mc Grath
182,Richard Smith
183,Cynthia Beall
184,Atwood Gaines
185,Melvyn Goldstein
186,Lawrence Greksa
187,Jill Korbin
188,Janet Mc Grath
189,Lee Hoffer
190,Katia Almeida
191,Lihong Shi
192,Gabriella Celeste
193,Cynthia Beall
194,Atwood Gaines
195,Melvyn Goldstein
196,Lawrence Greksa
