"","Course_id","name","department","units","meeting","instructor","rating"
"1","100","Introduction to Accounting for Non-Business Majors","ACCT","3","MW 3:20 PM - 4:35 PM","Heidi Blakeway-Phillips","3.3"
"2","101","Introduction to Financial Accounting","ACCT","3","TuTh 1:00 PM - 2:15 PM","Melissa Carlisle",NA
"3","101","Introduction to Financial Accounting","ACCT","3","TuTh 2:30 PM - 3:45 PM","Heidi Blakeway-Phillips","3.3"
"4","101","Introduction to Financial Accounting","ACCT","3","MW 3:20 PM - 4:35 PM","Anthony Bucaro",NA
"5","101","Introduction to Financial Accounting","ACCT","3","TuTh 10:00 AM - 11:15 AM","Heidi Blakeway-Phillips","3.3"
"6","102","Management Accounting","ACCT","3","TuTh 2:30 PM - 3:45 PM","Karen Braun","4.4"
"7","207","Excel and Accounting Analytics Technology","ACCT","3","MW 10:35 AM - 11:50 AM","Dennis Conrad","2.5"
"8","207","Excel and Accounting Analytics Technology","ACCT","3","TBA ","Dennis Conrad","2.5"
"9","300","Corporate Reporting I","ACCT","3","MW 9:00 AM - 10:15 AM","Dennis Conrad","2.5"
"10","301","Corporate Reporting II","ACCT","3","MW 10:35 AM - 11:50 AM","Sharon Martin","3.5"
"11","305","Income Tax: Concepts, Skills, Planning","ACCT","3","TuTh 1:00 PM - 2:15 PM","Timothy Fogarty","3.4"
"12","306","Accounting Information Systems - Basic","ACCT","3","MW 12:45 PM - 2:00 PM","Dennis Conrad","2.5"
"13","314","Attestation and Assurance Services","ACCT","3","TuTh 10:00 AM - 11:15 AM","Melissa Carlisle",NA
"14","400","Introduction to Accounting for Non-Business Majors","ACCT","3","MW 3:20 PM - 4:35 PM","Heidi Blakeway-Phillips","3.3"
"15","401","Financial and Managerial Accountancy","ACCT","3","MW 12:45 PM - 2:00 PM","Gregory Jonas",NA
"16","401","Financial and Managerial Accountancy","ACCT","3","M 6:00 PM - 8:00 PM","Kenneth Haffey",NA
"17","401H","Accounting for Healthcare","ACCT","3","Tu 6:00 PM - 8:00 PM","Kenneth Haffey",NA
"18","405","Advanced Federal Taxes","ACCT","3","Tu 6:00 PM - 8:00 PM","Kenneth Haffey",NA
"19","407","Analytics and Control","ACCT","3","Th 3:00 PM - 5:45 PM","David Johnson",NA
"20","414","Corporate Reporting and Analysis","ACCT","3","MW 3:20 PM - 4:35 PM","Thomas King",NA
"21","520","Advanced Accounting Theory","ACCT","3","M 6:00 PM - 8:20 PM","Gregory Jonas",NA
"22","520","Advanced Accounting Theory","ACCT","3","Tu 3:00 PM - 5:45 PM","Gary Previts","5.0"
"23","601","Special Problems and Topics","ACCT","18","W 12:00 PM - 2:45 PM","Gary Previts","5.0"
"24","701","Dissertation Ph.D.","ACCT","9","TBA ","Timothy Fogarty","3.4"
"25","395","Advanced Topics in Akkadian Literature","AKKD","3","TBA ","Timothy Fogarty","3.4"
"26","495","Advanced Topics in Akkadian Literature","AKKD","3","MW 4:50 PM - 6:05 PM","Maddalena Rumor","4.5"
"27","312","Basic Histology","ANAT","3","MW 4:50 PM - 6:05 PM","Maddalena Rumor","4.5"
"28","391","Embryology","ANAT","3","TuTh 3:20 PM - 5:30 PM","Nicholas Ziats","4.7"
"29","399","Independent Study","ANAT","4","MW 3:20 PM - 4:35 PM","Scott Simpson","5.0"
"30","401","HoloAnatomy of the Human Body","ANAT","2","TBA ","Scott Simpson","5.0"
"31","401","HoloAnatomy of the Human Body","ANAT","2","F 3:20 PM - 4:15 PM","Bryan Singelyn,Darin Croft",NA
"32","412","Histology and Ultrastructure","ANAT","4","F 4:15 PM - 5:15 PM","Bryan Singelyn,Darin Croft",NA
"33","414","Neurological Anatomy","ANAT","4","TuTh 3:20 PM - 5:30 PM","Nicholas Ziats","4.7"
"34","431","Statistical Methods I","ANAT","3","TuTh 1:00 PM - 3:00 PM","Andrew Crofton,Thomas Brantley",NA
"35","445","Mammal Diversity and Evolution","ANAT","4","TuTh 4:15 PM - 5:30 PM","Ming Li",NA
"36","445","Mammal Diversity and Evolution","ANAT","4","TuTh 4:00 PM - 5:15 PM","Darin Croft","5.0"
"37","467","Topics in Evolutionary Biology","ANAT","3","W 3:20 PM - 6:20 PM","Darin Croft","5.0"
"38","491","Embryology","ANAT","3","Th 7:00 PM - 9:30 PM","Patricia Princehouse","3.2"
"39","499","Independent Study","ANAT","4","MW 3:20 PM - 4:35 PM","Scott Simpson","5.0"
"40","499","Independent Study","ANAT","4","TBA ","Bryan Singelyn",NA
"41","499","Independent Study","ANAT","4","TBA ","Scott Simpson","5.0"
"42","503","Readings and Discussions","ANAT","3","TBA ","Darin Croft","5.0"
"43","503","Readings and Discussions","ANAT","3","TBA ","Bryan Singelyn",NA
"44","503","Readings and Discussions","ANAT","3","TBA ","Scott Simpson","5.0"
"45","503","Readings and Discussions","ANAT","3","TBA ","Darin Croft","5.0"
"46","515","Surgical Anatomy: Orthopaedic Musculoskeletal","ANAT","4","TBA ","Susanne Wish-Baratz",NA
"47","612","Practicum in Histology and Ultrastructure","ANAT","2","MTuWThF 8:00 AM - 5:00 PM","Scott Simpson","5.0"
"48","107","Introduction to the Ancient Near East and Egypt","ANEE","3","TuTh 3:20 PM - 5:30 PM","Nicholas Ziats","4.7"
"49","320","Gods and Demons in the Ancient Near East and Egypt","ANEE","3","MW 12:45 PM - 2:00 PM","Maddalena Rumor","4.5"
"50","403","Cardiac Electrophysiology","ANES","2","MW 3:20 PM - 4:35 PM","Meghan Strong",NA
"51","403","Cardiac Electrophysiology","ANES","2","TBA ","Zachary Barsman",NA
"52","403","Cardiac Electrophysiology","ANES","2","TBA ","Alex Steed,Stephen Hunt",NA
